                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.1502839861507756E+001   0.0000000000000000E+000                         1                         1                        18                         0                       -18
  0.1588969010472574E+001   0.0000000000000000E+000                         1                         1                        17                         0                       -17
  0.1685286367092361E+001   0.0000000000000000E+000                         1                         1                        16                         0                       -16
  0.1792963767399128E+001   0.0000000000000000E+000                         1                         1                        15                         0                       -15
  0.1916140512077038E+001   0.0000000000000000E+000                         1                         1                        14                         0                       -14
  0.2056029738678550E+001   0.0000000000000000E+000                         1                         1                        13                         0                       -13
  0.2216187299871708E+001   0.0000000000000000E+000                         1                         1                        12                         0                       -12
  0.2401957921328147E+001   0.0000000000000000E+000                         1                         1                        11                         0                       -11
  0.2620730205703557E+001   0.0000000000000000E+000                         1                         1                        10                         0                       -10
  0.2878675947668333E+001   0.0000000000000000E+000                         1                         1                         9                         0                        -9
  0.3185704207708626E+001   0.0000000000000000E+000                         1                         1                         8                         0                        -8
  0.3582901503394657E+001   0.0000000000000000E+000                         1                         1                         7                         0                        -7
  0.4097317844005396E+001   0.0000000000000000E+000                         1                         1                         6                         0                        -6
  0.4728525262328972E+001   0.0000000000000000E+000                         1                         1                         5                         0                        -5
